plate,part,instance,x,y,rotation_deg,w,h
BODY_PLATE_01,B01_BASE_LOWER,1,0.0,0.0,0,140.0,140.0
BODY_PLATE_01,B05_UPPER_ARM_PLATE,1,0.0,144.0,0,114.0,32.0
BODY_PLATE_01,B05_UPPER_ARM_PLATE,2,144.0,0.0,90,32.0,114.0
BODY_PLATE_01,B14_FIXED_GRIPPER_FINGER,1,118.0,144.0,0,62.0,12.0
BODY_PLATE_02,B04_SHOULDER_YOKE_PLATE,1,0.0,0.0,90,102.0,60.0
BODY_PLATE_02,B04_SHOULDER_YOKE_PLATE,2,0.0,64.0,90,102.0,60.0
BODY_PLATE_02,B06_FOREARM_PLATE,1,0.0,128.0,0,102.0,32.0
BODY_PLATE_02,B24_SERVO_EAR_CLAMP,1,106.0,0.0,0,64.0,10.0
BODY_PLATE_02,B24_SERVO_EAR_CLAMP,2,106.0,64.0,0,64.0,10.0
BODY_PLATE_02,B24_SERVO_EAR_CLAMP,3,106.0,128.0,0,64.0,10.0
BODY_PLATE_02,B24_SERVO_EAR_CLAMP,4,0.0,164.0,0,64.0,10.0
BODY_PLATE_02,B24_SERVO_EAR_CLAMP,5,68.0,164.0,0,64.0,10.0
BODY_PLATE_02,B11_LINK_SPACER_28,1,136.0,164.0,0,10.0,10.0
BODY_PLATE_02,B11_LINK_SPACER_28,2,150.0,164.0,0,10.0,10.0
BODY_PLATE_02,B11_LINK_SPACER_28,3,164.0,164.0,0,10.0,10.0
BODY_PLATE_03,B06_FOREARM_PLATE,2,0.0,0.0,0,102.0,32.0
BODY_PLATE_03,B02_BASE_UPPER,1,0.0,36.0,0,100.0,100.0
BODY_PLATE_03,B07_WRIST_PITCH_PLATE,1,104.0,36.0,0,76.0,30.0
BODY_PLATE_03,B07_WRIST_PITCH_PLATE,2,0.0,140.0,0,76.0,30.0
BODY_PLATE_03,B14_FIXED_GRIPPER_FINGER,2,106.0,0.0,0,62.0,12.0
BODY_PLATE_03,B23_MG996R_SLIDING_JAW,1,80.0,140.0,90,50.0,18.0
BODY_PLATE_03,B21_MG90S_CABLE_STOP,1,134.0,140.0,0,36.0,12.0
BODY_PLATE_04,B03_J1_TURNTABLE,1,0.0,0.0,0,100.0,100.0
BODY_PLATE_04,B22_MG996R_ADJUSTABLE_BASE,1,104.0,0.0,0,75.0,54.0
BODY_PLATE_04,B22_MG996R_ADJUSTABLE_BASE,2,0.0,104.0,0,75.0,54.0
BODY_PLATE_04,B19_MG90S_ADJUSTABLE_BASE,1,79.0,104.0,0,52.0,38.0
BODY_PLATE_04,B19_MG90S_ADJUSTABLE_BASE,2,135.0,104.0,90,38.0,52.0
BODY_PLATE_04,B23_MG996R_SLIDING_JAW,2,0.0,162.0,90,50.0,18.0
BODY_PLATE_04,B21_MG90S_CABLE_STOP,2,54.0,162.0,0,36.0,12.0
BODY_PLATE_04,B21_MG90S_CABLE_STOP,3,94.0,162.0,0,36.0,12.0
BODY_PLATE_04,B20_MG90S_SLIDING_JAW,1,134.0,162.0,90,34.0,13.0
BODY_PLATE_05,B16_J1_OUTPUT_GEAR_75T,1,0.0,0.0,90,96.24,96.22
BODY_PLATE_05,B19_MG90S_ADJUSTABLE_BASE,3,100.24,0.0,0,52.0,38.0
BODY_PLATE_05,B13_FIXED_GRIPPER_PALM,1,0.0,100.22,90,50.0,42.0
BODY_PLATE_05,B08_J5_BEARING_CARRIER,1,54.0,100.22,0,44.0,34.0
BODY_PLATE_05,B09_M5_SPLIT_FLANGE_HUB,1,102.0,100.22,0,34.0,34.0
BODY_PLATE_05,B09_M5_SPLIT_FLANGE_HUB,2,140.0,100.22,0,34.0,34.0
BODY_PLATE_05,B20_MG90S_SLIDING_JAW,2,0.0,146.22,90,34.0,13.0
BODY_PLATE_05,B20_MG90S_SLIDING_JAW,3,38.0,146.22,90,34.0,13.0
BODY_PLATE_05,B15_J1_PINION_12T,1,156.24,0.0,0,17.48,17.48
BODY_PLATE_05,B17_J4_PINION_12T,1,76.0,146.22,0,11.19,11.19
BODY_PLATE_05,B11_LINK_SPACER_28,4,91.19,146.22,0,10.0,10.0
BODY_PLATE_05,B11_LINK_SPACER_28,5,105.19,146.22,0,10.0,10.0
BODY_PLATE_05,B11_LINK_SPACER_28,6,119.19,146.22,0,10.0,10.0
BODY_PLATE_05,B12_YOKE_SPACER_38,1,133.19,146.22,0,10.0,10.0
BODY_PLATE_05,B12_YOKE_SPACER_38,2,147.19,146.22,0,10.0,10.0
BODY_PLATE_05,B12_YOKE_SPACER_38,3,161.19,146.22,0,10.0,10.0
BODY_PLATE_06,B09_M5_SPLIT_FLANGE_HUB,3,0.0,0.0,0,34.0,34.0
BODY_PLATE_06,B09_M5_SPLIT_FLANGE_HUB,4,38.0,0.0,0,34.0,34.0
BODY_PLATE_06,B09_M5_SPLIT_FLANGE_HUB,5,76.0,0.0,0,34.0,34.0
BODY_PLATE_06,B09_M5_SPLIT_FLANGE_HUB,6,114.0,0.0,0,34.0,34.0
BODY_PLATE_06,B09_M5_SPLIT_FLANGE_HUB,7,0.0,38.0,0,34.0,34.0
BODY_PLATE_06,B09_M5_SPLIT_FLANGE_HUB,8,38.0,38.0,0,34.0,34.0
BODY_PLATE_06,B18_J4_OUTPUT_GEAR_36T,1,76.0,38.0,0,30.39,30.39
BODY_PLATE_06,B10_F695ZZ_RETAINER,1,152.0,0.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,2,110.39,38.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,3,138.24,38.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,4,0.0,76.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,5,27.84,76.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,6,55.69,76.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,7,83.53,76.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,8,111.37,76.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,9,139.22,76.0,0,23.84,23.84
BODY_PLATE_06,B10_F695ZZ_RETAINER,10,0.0,103.84,0,23.84,23.84
