part,label,quantity,m3_holes,policy,valid,solids,details
B01_BASE_LOWER,J1 lower base with towers,1,8,INSERT_POSITIVE,True,1,"[{""axis"": 2, ""span"": 14.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 14.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 14.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 14.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 28.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 28.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 28.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 28.0, ""mode"": ""INSERT_POSITIVE""}]"
B02_BASE_UPPER,J1 upper bearing bridge,1,8,HEAD_SIDE,True,1,"[{""axis"": 2, ""span"": 8.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 12.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 12.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 12.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 12.0, ""mode"": ""HEAD_SIDE""}]"
B03_J1_TURNTABLE,J1 turntable,1,8,INSERT_POSITIVE,True,1,"[{""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 8.0, ""mode"": ""INSERT_POSITIVE""}]"
B04_SHOULDER_YOKE_PLATE,Shoulder yoke side plate,1,8,HEAD_SIDE,True,1,"[{""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 6.0, ""mode"": ""HEAD_SIDE""}]"
B05_UPPER_ARM_PLATE,Upper arm side plate,1,10,HEAD_SIDE,True,1,"[{""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}]"
B06_FOREARM_PLATE,Forearm side plate,1,10,HEAD_SIDE,True,1,"[{""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}]"
B07_WRIST_PITCH_PLATE,Wrist pitch side plate,1,10,HEAD_SIDE,True,1,"[{""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 5.5, ""mode"": ""HEAD_SIDE""}]"
B08_J5_BEARING_CARRIER,J5 two-bearing roll carrier,1,8,INSERT_BOTH,True,1,"[{""axis"": 0, ""span"": 44.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 0, ""span"": 44.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 0, ""span"": 44.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 0, ""span"": 44.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 1, ""span"": 34.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 1, ""span"": 34.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 1, ""span"": 34.0, ""mode"": ""INSERT_BOTH""}, {""axis"": 1, ""span"": 34.0, ""mode"": ""INSERT_BOTH""}]"
B09_M5_SPLIT_FLANGE_HUB,M5 split flange hub,1,5,INSERT_POSITIVE,True,1,"[{""axis"": 2, ""span"": 4.0, ""mode"": ""INSERT_POSITIVE_SKIPPED_THIN""}, {""axis"": 2, ""span"": 4.0, ""mode"": ""INSERT_POSITIVE_SKIPPED_THIN""}, {""axis"": 2, ""span"": 4.0, ""mode"": ""INSERT_POSITIVE_SKIPPED_THIN""}, {""axis"": 1, ""span"": 17.964, ""mode"": ""INSERT_POSITIVE""}, {""axis"": 2, ""span"": 4.0, ""mode"": ""INSERT_POSITIVE_SKIPPED_THIN""}]"
B10_F695ZZ_RETAINER,F695ZZ retainer ring,1,4,HEAD_SIDE,True,1,"[{""axis"": 2, ""span"": 2.2, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 2.2, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 2.2, ""mode"": ""HEAD_SIDE""}, {""axis"": 2, ""span"": 2.2, ""mode"": ""HEAD_SIDE""}]"
