PartID,ObjectName,Label,BodyID,Qty,Material,ManufacturingMethod,Mass_g,ConnectionIDs
BELT-J2-135-3GT-90,J2_BELT_135_3GT_90,MISUMI GBN1353GT-90 closed timing belt,B1_TURNTABLE,1,"Chloroprene rubber, fiberglass cord, nylon facing",Purchased MISUMI GBN1353GT-90,3.040,C-J2-BELT
BR-685-1,J1_PLANET_BRG_1,F685ZZ planet bearing,B1_TURNTABLE,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J1-P1
BR-685-2,J1_PLANET_BRG_2,F685ZZ planet bearing001,B1_TURNTABLE,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J1-P2
BR-685-3,J1_PLANET_BRG_3,F685ZZ planet bearing002,B1_TURNTABLE,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J1-P3
BR-695-1,F695_J1_1,F695ZZ J1 output bearing,B0_BASE,1,"Bearing steel, ZZ shields",Purchased NSK F695ZZ,2.840,C-J1-BRG;C-J1-TRANSMISSION
BR-695-2,F695_J1_2,F695ZZ J1 output bearing001,B0_BASE,1,"Bearing steel, ZZ shields",Purchased NSK F695ZZ,2.840,C-J1-BRG;C-J1-TRANSMISSION
BR-F685_J2_INPUT_A,F685_J2_INPUT_A,F685ZZ002,B1_TURNTABLE,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J2-INPUT-SUPPORT;C-J2-BELT
BR-F685_J2_INPUT_B,F685_J2_INPUT_B,F685ZZ003,B1_TURNTABLE,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J2-INPUT-SUPPORT;C-J2-BELT
BR-F685_J5_A,F685_J5_A,F685ZZ,B4_WRIST_PITCH,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J5-BRG
BR-F685_J5_B,F685_J5_B,F685ZZ001,B4_WRIST_PITCH,1,"Bearing steel, ZZ shields",Purchased NSK F685ZZ,2.180,C-J5-BRG
BR-F695_J2_L,F695_J2_L,F695ZZ,B2_UPPER_ARM,1,"Bearing steel, ZZ shields",Purchased NSK F695ZZ,2.840,C-J2-OUTPUT-BEARINGS
BR-F695_J2_R,F695_J2_R,F695ZZ001,B2_UPPER_ARM,1,"Bearing steel, ZZ shields",Purchased NSK F695ZZ,2.840,C-J2-OUTPUT-BEARINGS
BR-F695_J3,F695_J3,F695ZZ002,B2_UPPER_ARM,1,"Bearing steel, ZZ shields",Purchased NSK F695ZZ,2.840,C-J3-PASSIVE
BR-F695_J4,F695_J4,F695ZZ003,B3_FOREARM,1,"Bearing steel, ZZ shields",Purchased NSK F695ZZ,2.840,C-J4-PASSIVE
COL-J3,J3_COLLAR,J3 CL05M 5 mm set-screw collar,B3_FOREARM,1,Zinc-plated steel collar,Purchased Motionco CL05M; 5 ID x 10 OD x 5 W,2.142,C-J3-RETENTION;C-J3-PASSIVE
COL-J4,J4_COLLAR,J4 CL05M 5 mm set-screw collar,B4_WRIST_PITCH,1,Zinc-plated steel collar,Purchased Motionco CL05M; 5 ID x 10 OD x 5 W,2.142,C-J4-RETENTION;C-J4-PASSIVE
